                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.77828,                0.78571,                0.96378,                0.88762,                0.95333,                0.96786,                0.78843,                0.63771,                0.73062,                 0.8978,               0.006865,               0.006865,               0.006865
                     97,                0.77107,                0.83601,                0.96204,                0.90102,                0.92367,                 0.9639,                0.78945,                0.62311,                0.75218,                 0.8934,               0.006832,               0.006832,               0.006832
                     98,                0.72722,                0.85114,                0.94181,                0.91099,                0.88243,                 0.9514,                0.76816,                  0.638,                0.77293,                0.89661,               0.006799,               0.006799,               0.006799
                     99,                0.75051,                0.81223,                0.94299,                0.90803,                0.84501,                0.94319,                0.77843,                0.64387,                 0.8338,                0.89944,               0.006766,               0.006766,               0.006766
                    100,                0.79115,                0.84887,                 0.9647,                0.90803,                0.84501,                0.94319,                0.77843,                0.64387,                 0.8338,                0.89944,               0.006733,               0.006733,               0.006733
                    101,                0.72538,                0.82161,                0.95984,                0.85782,                0.87558,                0.92634,                0.76212,                 0.6219,                0.85412,                0.90078,                 0.0067,                 0.0067,                 0.0067
                    102,                0.75395,                  0.827,                0.97845,                0.86578,                0.75386,                0.89449,                0.72537,                0.64013,                0.96759,                0.90712,               0.006667,               0.006667,               0.006667
                    103,                0.72292,                 0.7758,                0.96332,                0.76244,                0.73858,                0.81081,                0.64558,                0.72057,                 0.9523,                0.93193,               0.006634,               0.006634,               0.006634
                    104,                0.73685,                0.79994,                0.93328,                0.76244,                0.73858,                0.81081,                0.64558,                0.72057,                 0.9523,                0.93193,               0.006601,               0.006601,               0.006601
                    105,                0.75751,                0.81517,                 0.9715,                0.68874,                0.72244,                0.76132,                0.60427,                0.73585,                 1.2214,                0.98758,               0.006568,               0.006568,               0.006568
                    106,                0.74014,                0.86326,                0.96024,                0.67971,                0.61592,                0.72351,                0.56776,                0.75358,                  1.751,                 1.0193,               0.006535,               0.006535,               0.006535
                    107,                0.76867,                0.85256,                0.97864,                0.71933,                0.53541,                0.66453,                0.51384,                0.87781,                 1.9897,                 1.1131,               0.006502,               0.006502,               0.006502
                    108,                0.73884,                0.78812,                0.96584,                0.71933,                0.53541,                0.66453,                0.51384,                0.87781,                 1.9897,                 1.1131,               0.006469,               0.006469,               0.006469
                    109,                0.76437,                0.78402,                0.95293,                0.72669,                 0.5706,                0.67289,                0.50966,                0.85274,                 1.6918,                 1.0975,               0.006436,               0.006436,               0.006436
                    110,                0.78694,                0.83155,                 0.9851,                0.71956,                0.50543,                0.63251,                0.48175,                0.85872,                 1.8499,                 1.1093,               0.006403,               0.006403,               0.006403
                    111,                0.70205,                0.75094,                0.94325,                0.71986,                0.61066,                0.68308,                0.53866,                0.81415,                 1.5786,                 1.0625,                0.00637,                0.00637,                0.00637
                    112,                0.74867,                0.77696,                0.95135,                0.71986,                0.61066,                0.68308,                0.53866,                0.81415,                 1.5786,                 1.0625,               0.006337,               0.006337,               0.006337
                    113,                0.69729,                 0.7615,                 0.9489,                0.73389,                0.70885,                0.77436,                 0.6148,                0.72417,                  1.314,                0.98451,               0.006304,               0.006304,               0.006304
                    114,                0.74394,                0.75784,                0.96342,                0.74005,                0.80964,                0.83626,                0.64272,                0.66498,                0.99784,                0.91402,               0.006271,               0.006271,               0.006271
                    115,                0.75537,                0.78902,                0.98589,                0.86903,                0.82428,                0.90794,                0.74274,                0.59365,                0.82794,                0.87759,               0.006238,               0.006238,               0.006238
                    116,                0.75334,                0.74423,                0.93769,                0.86903,                0.82428,                0.90794,                0.74274,                0.59365,                0.82794,                0.87759,               0.006205,               0.006205,               0.006205
